               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.037516,             0.14825,           0.0050882,             0.99299,             0.99283,             0.98913,             0.58731,             0.03177,             0.11274,           0.0031668,            0.070508,           0.0032768,           0.0032768
                   1,            0.038073,             0.14797,           0.0048894,             0.98979,             0.99093,             0.98828,             0.53699,             0.03767,             0.11537,           0.0029964,            0.040443,           0.0065447,           0.0065447
                   2,            0.043605,             0.15229,           0.0049322,             0.99286,             0.99248,             0.98966,             0.56878,            0.034826,              0.1148,           0.0032475,            0.010312,           0.0097466,           0.0097466
                   3,            0.043463,             0.15745,           0.0051682,             0.99174,             0.99086,             0.98813,             0.53474,             0.03576,             0.11654,           0.0033703,            0.009703,            0.009703,            0.009703
                   4,            0.042469,             0.15155,           0.0049835,             0.99075,             0.99075,             0.98746,              0.5347,            0.037303,             0.11714,            0.003434,            0.009703,            0.009703,            0.009703
                   5,            0.043746,              0.1567,           0.0051391,             0.99154,             0.99237,             0.98861,             0.54563,            0.035191,             0.11644,            0.003191,            0.009604,            0.009604,            0.009604
                   6,             0.04254,              0.1461,           0.0048312,             0.99115,             0.99307,             0.98881,             0.56524,            0.034636,             0.11504,           0.0032527,            0.009505,            0.009505,            0.009505
                   7,            0.041774,             0.15413,           0.0046097,             0.99086,             0.99065,             0.98659,             0.53977,            0.036336,             0.11741,           0.0030764,            0.009406,            0.009406,            0.009406
                   8,            0.042623,             0.15503,           0.0046163,             0.98195,             0.98969,             0.98662,             0.51922,            0.036909,             0.11591,           0.0031169,            0.009307,            0.009307,            0.009307
                   9,            0.040955,             0.15011,           0.0046929,             0.99174,             0.99107,             0.98752,             0.52756,            0.036623,             0.11573,           0.0031568,            0.009208,            0.009208,            0.009208
                  10,            0.040073,             0.14791,           0.0043521,             0.99161,             0.99198,             0.98783,             0.56062,            0.034618,             0.11415,           0.0029504,            0.009109,            0.009109,            0.009109
                  11,            0.040921,             0.15075,           0.0044701,             0.99157,             0.99132,             0.98715,             0.55313,            0.036605,             0.11543,           0.0029375,             0.00901,             0.00901,             0.00901
                  12,            0.041222,              0.1482,           0.0043117,             0.98991,             0.98942,             0.98491,              0.5063,            0.037288,              0.1156,           0.0029477,            0.008911,            0.008911,            0.008911
                  13,             0.04073,             0.15028,           0.0044859,             0.99292,             0.99252,             0.98937,             0.57456,            0.032865,             0.11393,           0.0029898,            0.008812,            0.008812,            0.008812
                  14,            0.039389,             0.14435,           0.0041432,             0.99301,             0.99295,             0.98876,             0.57541,            0.033875,             0.11532,           0.0028303,            0.008713,            0.008713,            0.008713
                  15,              0.0397,             0.14869,           0.0043084,             0.99307,             0.99297,             0.98935,              0.5564,            0.034848,             0.11517,           0.0028857,            0.008614,            0.008614,            0.008614
                  16,            0.039091,             0.15067,           0.0042722,             0.99294,             0.99209,             0.98874,             0.57039,            0.033303,             0.11444,           0.0030025,            0.008515,            0.008515,            0.008515
                  17,            0.039571,             0.14937,           0.0040823,             0.99245,             0.99243,             0.98799,             0.55265,            0.033772,             0.11408,           0.0027586,            0.008416,            0.008416,            0.008416
